day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0024,88101,5,45.64336,-122.58737,2.0
1,00:00:00,0024,88101,3,46.842181,-114.021499,16.5
1,00:00:00,0024,88101,3,41.6175,-87.199167,10.4
1,00:00:00,0024,88101,1,20.902031,-156.370344,-4.0
1,01:00:00,0024,88101,5,45.64336,-122.58737,5.0
1,01:00:00,0024,88101,3,46.842181,-114.021499,10.6
1,01:00:00,0024,88101,1,20.902031,-156.370344,9.0
1,01:00:00,0024,88101,3,41.6175,-87.199167,14.0
1,02:00:00,0024,88101,5,45.64336,-122.58737,7.0
1,02:00:00,0024,88101,3,46.842181,-114.021499,41.9
1,02:00:00,0024,88101,1,20.902031,-156.370344,11.0
1,02:00:00,0024,88101,3,41.6175,-87.199167,16.0
1,03:00:00,0024,88101,5,45.64336,-122.58737,5.0
1,03:00:00,0024,88101,1,20.902031,-156.370344,6.0
1,03:00:00,0024,88101,3,46.842181,-114.021499,27.2
1,03:00:00,0024,88101,3,41.6175,-87.199167,12.8
1,04:00:00,0024,88101,5,45.64336,-122.58737,4.0
1,04:00:00,0024,88101,3,46.842181,-114.021499,43.1
1,04:00:00,0024,88101,1,20.902031,-156.370344,1.0
1,04:00:00,0024,88101,3,41.6175,-87.199167,12.7
1,05:00:00,0024,88101,5,45.64336,-122.58737,2.0
1,05:00:00,0024,88101,1,20.902031,-156.370344,-2.0
1,05:00:00,0024,88101,3,41.6175,-87.199167,14.7
1,05:00:00,0024,88101,3,46.842181,-114.021499,24.7
1,06:00:00,0024,88101,5,45.64336,-122.58737,3.0
1,06:00:00,0024,88101,3,41.6175,-87.199167,4.2
1,06:00:00,0024,88101,3,46.842181,-114.021499,20.0
1,06:00:00,0024,88101,1,20.902031,-156.370344,0.0
1,07:00:00,0024,88101,3,46.842181,-114.021499,31.0
1,07:00:00,0024,88101,4,46.842181,-114.021499,31.4
1,07:00:00,0024,88101,5,45.64336,-122.58737,3.0
1,07:00:00,0024,88101,3,41.6175,-87.199167,4.3
1,07:00:00,0024,88101,3,35.0631,-106.578785,17.6
1,07:00:00,0024,88101,1,20.902031,-156.370344,3.0
