day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0110,88101,4,40.816,-73.902,4.0
1,01:00:00,0110,88101,4,40.816,-73.902,2.1
1,02:00:00,0110,88101,4,40.816,-73.902,0.0
1,03:00:00,0110,88101,4,40.816,-73.902,0.1
1,04:00:00,0110,88101,4,40.816,-73.902,1.3
1,05:00:00,0110,88101,4,40.816,-73.902,14.8
1,06:00:00,0110,88101,4,40.816,-73.902,13.8
1,07:00:00,0110,88101,4,40.816,-73.902,11.8
1,08:00:00,0110,88101,4,40.816,-73.902,11.4
1,09:00:00,0110,88101,4,40.816,-73.902,13.3
1,10:00:00,0110,88101,4,40.816,-73.902,9.0
1,11:00:00,0110,88101,4,40.816,-73.902,11.2
1,12:00:00,0110,88101,4,40.816,-73.902,9.0
1,13:00:00,0110,88101,4,40.816,-73.902,6.3
1,14:00:00,0110,88101,4,40.816,-73.902,9.1
1,15:00:00,0110,88101,4,40.816,-73.902,10.5
1,16:00:00,0110,88101,4,40.816,-73.902,8.4
1,17:00:00,0110,88101,4,40.816,-73.902,4.7
1,18:00:00,0110,88101,4,40.816,-73.902,7.1
1,19:00:00,0110,88101,4,40.816,-73.902,7.7
1,20:00:00,0110,88101,4,40.816,-73.902,7.3
1,21:00:00,0110,88101,4,40.816,-73.902,9.2
1,22:00:00,0110,88101,4,40.816,-73.902,7.4
1,23:00:00,0110,88101,4,40.816,-73.902,9.6
2,00:00:00,0110,88101,4,40.816,-73.902,9.7
2,01:00:00,0110,88101,4,40.816,-73.902,7.6
2,02:00:00,0110,88101,4,40.816,-73.902,7.6
2,03:00:00,0110,88101,4,40.816,-73.902,7.5
2,04:00:00,0110,88101,4,40.816,-73.902,8.6
2,05:00:00,0110,88101,4,40.816,-73.902,8.5
2,06:00:00,0110,88101,4,40.816,-73.902,9.6
2,07:00:00,0110,88101,4,40.816,-73.902,6.2
2,08:00:00,0110,88101,4,40.816,-73.902,3.5
2,09:00:00,0110,88101,4,40.816,-73.902,4.1
2,10:00:00,0110,88101,4,40.816,-73.902,4.6
2,11:00:00,0110,88101,4,40.816,-73.902,6.6
2,12:00:00,0110,88101,4,40.816,-73.902,6.3
2,13:00:00,0110,88101,4,40.816,-73.902,7.3
2,14:00:00,0110,88101,4,40.816,-73.902,12.4
2,15:00:00,0110,88101,4,40.816,-73.902,12.4
2,16:00:00,0110,88101,4,40.816,-73.902,11.2
2,17:00:00,0110,88101,4,40.816,-73.902,8.7
2,18:00:00,0110,88101,4,40.816,-73.902,6.0
2,19:00:00,0110,88101,4,40.816,-73.902,7.3
2,20:00:00,0110,88101,4,40.816,-73.902,5.5
