day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0013,88101,3,36.109006,-79.802314,7.0
1,01:00:00,0013,88101,3,36.109006,-79.802314,4.0
1,02:00:00,0013,88101,3,36.109006,-79.802314,10.0
1,03:00:00,0013,88101,3,36.109006,-79.802314,5.0
1,04:00:00,0013,88101,3,36.109006,-79.802314,5.0
1,09:00:00,0013,88101,3,61.598796,-149.455255,28.0
1,10:00:00,0013,88101,3,61.598796,-149.455255,33.0
1,11:00:00,0013,88101,3,61.598796,-149.455255,26.0
1,12:00:00,0013,88101,3,61.598796,-149.455255,25.0
1,13:00:00,0013,88101,3,61.598796,-149.455255,25.0
1,14:00:00,0013,88101,3,61.598796,-149.455255,15.0
1,15:00:00,0013,88101,3,61.598796,-149.455255,10.0
1,16:00:00,0013,88101,3,61.598796,-149.455255,8.0
1,17:00:00,0013,88101,3,61.598796,-149.455255,1.0
1,18:00:00,0013,88101,3,61.598796,-149.455255,-1.0
1,19:00:00,0013,88101,3,61.598796,-149.455255,2.0
1,20:00:00,0013,88101,3,61.598796,-149.455255,-1.0
1,21:00:00,0013,88101,3,61.598796,-149.455255,-1.0
1,22:00:00,0013,88101,3,61.598796,-149.455255,1.0
1,23:00:00,0013,88101,3,61.598796,-149.455255,1.0
2,00:00:00,0013,88101,3,61.598796,-149.455255,0.0
2,01:00:00,0013,88101,3,61.598796,-149.455255,0.0
2,02:00:00,0013,88101,3,61.598796,-149.455255,3.0
2,03:00:00,0013,88101,3,61.598796,-149.455255,6.0
2,04:00:00,0013,88101,3,61.598796,-149.455255,4.0
2,05:00:00,0013,88101,3,61.598796,-149.455255,5.0
2,06:00:00,0013,88101,3,61.598796,-149.455255,6.0
2,07:00:00,0013,88101,3,61.598796,-149.455255,4.0
2,08:00:00,0013,88101,3,61.598796,-149.455255,3.0
2,09:00:00,0013,88101,3,61.598796,-149.455255,4.0
2,10:00:00,0013,88101,3,61.598796,-149.455255,5.0
2,11:00:00,0013,88101,3,61.598796,-149.455255,2.0
2,12:00:00,0013,88101,3,61.598796,-149.455255,1.0
2,13:00:00,0013,88101,3,61.598796,-149.455255,1.0
2,14:00:00,0013,88101,3,61.598796,-149.455255,-2.0
2,15:00:00,0013,88101,3,61.598796,-149.455255,-1.0
2,16:00:00,0013,88101,3,61.598796,-149.455255,0.0
2,17:00:00,0013,88101,3,61.598796,-149.455255,1.0
2,18:00:00,0013,88101,3,61.598796,-149.455255,3.0
2,19:00:00,0013,88101,3,61.598796,-149.455255,4.0
2,20:00:00,0013,88101,3,61.598796,-149.455255,1.0
2,21:00:00,0013,88101,3,61.598796,-149.455255,1.0
2,22:00:00,0013,88101,3,61.598796,-149.455255,0.0
2,23:00:00,0013,88101,3,61.598796,-149.455255,2.0
3,00:00:00,0013,88101,3,61.598796,-149.455255,3.0
3,01:00:00,0013,88101,3,61.598796,-149.455255,1.0
3,02:00:00,0013,88101,3,61.598796,-149.455255,1.0
3,03:00:00,0013,88101,3,61.598796,-149.455255,1.0
3,04:00:00,0013,88101,3,61.598796,-149.455255,-1.0
3,05:00:00,0013,88101,3,61.598796,-149.455255,1.0
3,06:00:00,0013,88101,3,61.598796,-149.455255,0.0
3,07:00:00,0013,88101,3,61.598796,-149.455255,-1.0
3,08:00:00,0013,88101,3,61.598796,-149.455255,0.0
3,09:00:00,0013,88101,3,61.598796,-149.455255,-2.0
3,10:00:00,0013,88101,3,61.598796,-149.455255,0.0
3,11:00:00,0013,88101,3,61.598796,-149.455255,3.0
3,12:00:00,0013,88101,3,61.598796,-149.455255,3.0
3,13:00:00,0013,88101,3,61.598796,-149.455255,0.0
3,14:00:00,0013,88101,3,61.598796,-149.455255,2.0
3,15:00:00,0013,88101,3,61.598796,-149.455255,1.0
3,16:00:00,0013,88101,3,61.598796,-149.455255,0.0
3,17:00:00,0013,88101,3,61.598796,-149.455255,1.0
3,18:00:00,0013,88101,3,61.598796,-149.455255,3.0
3,19:00:00,0013,88101,3,61.598796,-149.455255,2.0
3,20:00:00,0013,88101,3,61.598796,-149.455255,-2.0
3,21:00:00,0013,88101,3,61.598796,-149.455255,-1.0
3,22:00:00,0013,88101,3,61.598796,-149.455255,2.0
3,23:00:00,0013,88101,3,61.598796,-149.455255,4.0
4,00:00:00,0013,88101,3,61.598796,-149.455255,3.0
4,01:00:00,0013,88101,3,61.598796,-149.455255,2.0
4,02:00:00,0013,88101,3,61.598796,-149.455255,4.0
4,03:00:00,0013,88101,3,61.598796,-149.455255,0.0
4,04:00:00,0013,88101,3,61.598796,-149.455255,-2.0
4,05:00:00,0013,88101,3,61.598796,-149.455255,0.0
4,06:00:00,0013,88101,3,61.598796,-149.455255,1.0
4,07:00:00,0013,88101,3,61.598796,-149.455255,0.0
4,08:00:00,0013,88101,3,61.598796,-149.455255,0.0
4,09:00:00,0013,88101,3,61.598796,-149.455255,2.0
4,10:00:00,0013,88101,3,61.598796,-149.455255,4.0
4,11:00:00,0013,88101,3,61.598796,-149.455255,6.0
