day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,19:00:00,7002,88101,2,45.66408,-118.68909,-0.4
1,20:00:00,7002,88101,2,45.66408,-118.68909,3.4
1,21:00:00,7002,88101,2,45.66408,-118.68909,7.9
1,22:00:00,7002,88101,2,45.66408,-118.68909,6.5
1,23:00:00,7002,88101,2,45.66408,-118.68909,4.7
2,00:00:00,7002,88101,2,45.66408,-118.68909,7.8
2,01:00:00,7002,88101,2,45.66408,-118.68909,5.1
2,02:00:00,7002,88101,2,45.66408,-118.68909,10.4
2,03:00:00,7002,88101,2,45.66408,-118.68909,1.4
2,04:00:00,7002,88101,2,45.66408,-118.68909,1.3
2,05:00:00,7002,88101,2,45.66408,-118.68909,2.4
2,06:00:00,7002,88101,2,45.66408,-118.68909,3.1
2,07:00:00,7002,88101,2,45.66408,-118.68909,2.9
2,08:00:00,7002,88101,2,45.66408,-118.68909,3.9
2,14:00:00,7002,88101,2,45.66408,-118.68909,-0.1
2,15:00:00,7002,88101,2,45.66408,-118.68909,-0.1
2,16:00:00,7002,88101,2,45.66408,-118.68909,0.8
2,17:00:00,7002,88101,2,45.66408,-118.68909,-0.4
2,18:00:00,7002,88101,2,45.66408,-118.68909,4.5
2,19:00:00,7002,88101,2,45.66408,-118.68909,3.0
2,20:00:00,7002,88101,2,45.66408,-118.68909,3.5
2,21:00:00,7002,88101,2,45.66408,-118.68909,4.7
2,22:00:00,7002,88101,2,45.66408,-118.68909,5.1
2,23:00:00,7002,88101,2,45.66408,-118.68909,4.8
3,00:00:00,7002,88101,2,45.66408,-118.68909,6.7
3,01:00:00,7002,88101,2,45.66408,-118.68909,16.0
3,02:00:00,7002,88101,2,45.66408,-118.68909,10.3
3,03:00:00,7002,88101,2,45.66408,-118.68909,6.8
3,04:00:00,7002,88101,2,45.66408,-118.68909,8.7
3,05:00:00,7002,88101,2,45.66408,-118.68909,12.0
3,06:00:00,7002,88101,2,45.66408,-118.68909,10.5
3,07:00:00,7002,88101,2,45.66408,-118.68909,13.3
3,08:00:00,7002,88101,2,45.66408,-118.68909,8.2
3,09:00:00,7002,88101,2,45.66408,-118.68909,13.8
3,10:00:00,7002,88101,2,45.66408,-118.68909,9.3
3,11:00:00,7002,88101,2,45.66408,-118.68909,12.0
3,12:00:00,7002,88101,2,45.66408,-118.68909,10.8
3,13:00:00,7002,88101,2,45.66408,-118.68909,9.1
3,14:00:00,7002,88101,2,45.66408,-118.68909,10.6
3,15:00:00,7002,88101,2,45.66408,-118.68909,9.8
3,16:00:00,7002,88101,2,45.66408,-118.68909,10.9
3,17:00:00,7002,88101,2,45.66408,-118.68909,15.2
3,18:00:00,7002,88101,2,45.66408,-118.68909,16.9
3,19:00:00,7002,88101,2,45.66408,-118.68909,12.5
3,20:00:00,7002,88101,2,45.66408,-118.68909,10.4
3,21:00:00,7002,88101,2,45.66408,-118.68909,9.6
3,22:00:00,7002,88101,2,45.66408,-118.68909,6.3
3,23:00:00,7002,88101,2,45.66408,-118.68909,7.7
4,00:00:00,7002,88101,2,45.66408,-118.68909,5.3
4,01:00:00,7002,88101,2,45.66408,-118.68909,8.9
4,02:00:00,7002,88101,2,45.66408,-118.68909,12.5
4,03:00:00,7002,88101,2,45.66408,-118.68909,9.6
4,04:00:00,7002,88101,2,45.66408,-118.68909,11.4
4,05:00:00,7002,88101,2,45.66408,-118.68909,10.1
4,06:00:00,7002,88101,2,45.66408,-118.68909,12.3
4,07:00:00,7002,88101,2,45.66408,-118.68909,18.0
4,08:00:00,7002,88101,2,45.66408,-118.68909,12.2
4,09:00:00,7002,88101,2,45.66408,-118.68909,16.6
4,10:00:00,7002,88101,2,45.66408,-118.68909,24.5
4,11:00:00,7002,88101,2,45.66408,-118.68909,22.5
4,12:00:00,7002,88101,2,45.66408,-118.68909,21.3
4,13:00:00,7002,88101,2,45.66408,-118.68909,17.0
4,14:00:00,7002,88101,2,45.66408,-118.68909,15.8
4,15:00:00,7002,88101,2,45.66408,-118.68909,14.4
4,16:00:00,7002,88101,2,45.66408,-118.68909,7.8
4,17:00:00,7002,88101,2,45.66408,-118.68909,14.5
4,18:00:00,7002,88101,2,45.66408,-118.68909,13.8
4,19:00:00,7002,88101,2,45.66408,-118.68909,14.4
4,20:00:00,7002,88101,2,45.66408,-118.68909,13.7
4,21:00:00,7002,88101,2,45.66408,-118.68909,15.1
4,22:00:00,7002,88101,2,45.66408,-118.68909,7.8
4,23:00:00,7002,88101,2,45.66408,-118.68909,5.5
5,00:00:00,7002,88101,2,45.66408,-118.68909,9.4
5,01:00:00,7002,88101,2,45.66408,-118.68909,17.7
5,02:00:00,7002,88101,2,45.66408,-118.68909,14.4
5,03:00:00,7002,88101,2,45.66408,-118.68909,12.8
5,04:00:00,7002,88101,2,45.66408,-118.68909,6.8
5,05:00:00,7002,88101,2,45.66408,-118.68909,5.3
5,06:00:00,7002,88101,2,45.66408,-118.68909,7.2
5,07:00:00,7002,88101,2,45.66408,-118.68909,2.1
5,08:00:00,7002,88101,2,45.66408,-118.68909,3.7
5,09:00:00,7002,88101,2,45.66408,-118.68909,-7.7
5,10:00:00,7002,88101,2,45.66408,-118.68909,2.1
5,11:00:00,7002,88101,2,45.66408,-118.68909,1.5
5,12:00:00,7002,88101,2,45.66408,-118.68909,1.4
5,13:00:00,7002,88101,2,45.66408,-118.68909,2.1
5,14:00:00,7002,88101,2,45.66408,-118.68909,0.6
5,15:00:00,7002,88101,2,45.66408,-118.68909,3.4
5,16:00:00,7002,88101,2,45.66408,-118.68909,1.0
5,17:00:00,7002,88101,2,45.66408,-118.68909,2.5
5,18:00:00,7002,88101,2,45.66408,-118.68909,4.5
5,19:00:00,7002,88101,2,45.66408,-118.68909,0.1
5,20:00:00,7002,88101,2,45.66408,-118.68909,3.8
5,21:00:00,7002,88101,2,45.66408,-118.68909,-0.5
5,22:00:00,7002,88101,2,45.66408,-118.68909,1.6
5,23:00:00,7002,88101,2,45.66408,-118.68909,2.0
6,00:00:00,7002,88101,2,45.66408,-118.68909,0.4
6,01:00:00,7002,88101,2,45.66408,-118.68909,-7.4
6,02:00:00,7002,88101,2,45.66408,-118.68909,-2.2
6,03:00:00,7002,88101,2,45.66408,-118.68909,2.2
6,04:00:00,7002,88101,2,45.66408,-118.68909,0.6
6,05:00:00,7002,88101,2,45.66408,-118.68909,4.7
6,06:00:00,7002,88101,2,45.66408,-118.68909,3.2
6,07:00:00,7002,88101,2,45.66408,-118.68909,4.9
6,08:00:00,7002,88101,2,45.66408,-118.68909,1.4
6,09:00:00,7002,88101,2,45.66408,-118.68909,1.9
6,10:00:00,7002,88101,2,45.66408,-118.68909,3.8
6,11:00:00,7002,88101,2,45.66408,-118.68909,1.8
6,12:00:00,7002,88101,2,45.66408,-118.68909,4.0
6,13:00:00,7002,88101,2,45.66408,-118.68909,5.4
6,14:00:00,7002,88101,2,45.66408,-118.68909,2.0
6,15:00:00,7002,88101,2,45.66408,-118.68909,3.7
6,16:00:00,7002,88101,2,45.66408,-118.68909,0.8
6,17:00:00,7002,88101,2,45.66408,-118.68909,9.6
6,18:00:00,7002,88101,2,45.66408,-118.68909,7.6
6,19:00:00,7002,88101,2,45.66408,-118.68909,7.3
6,20:00:00,7002,88101,2,45.66408,-118.68909,3.1
6,21:00:00,7002,88101,2,45.66408,-118.68909,3.1
6,22:00:00,7002,88101,2,45.66408,-118.68909,4.5
6,23:00:00,7002,88101,2,45.66408,-118.68909,2.9
7,00:00:00,7002,88101,2,45.66408,-118.68909,4.3
7,01:00:00,7002,88101,2,45.66408,-118.68909,10.6
7,02:00:00,7002,88101,2,45.66408,-118.68909,8.1
7,03:00:00,7002,88101,2,45.66408,-118.68909,3.7
7,04:00:00,7002,88101,2,45.66408,-118.68909,8.4
7,05:00:00,7002,88101,2,45.66408,-118.68909,4.3
7,06:00:00,7002,88101,2,45.66408,-118.68909,7.1
7,07:00:00,7002,88101,2,45.66408,-118.68909,7.2
7,08:00:00,7002,88101,2,45.66408,-118.68909,8.4
7,09:00:00,7002,88101,2,45.66408,-118.68909,5.9
7,10:00:00,7002,88101,2,45.66408,-118.68909,9.3
7,11:00:00,7002,88101,2,45.66408,-118.68909,7.8
7,12:00:00,7002,88101,2,45.66408,-118.68909,6.1
7,13:00:00,7002,88101,2,45.66408,-118.68909,5.6
7,14:00:00,7002,88101,2,45.66408,-118.68909,6.1
7,15:00:00,7002,88101,2,45.66408,-118.68909,4.7
7,16:00:00,7002,88101,2,45.66408,-118.68909,6.4
7,17:00:00,7002,88101,2,45.66408,-118.68909,7.7
7,18:00:00,7002,88101,2,45.66408,-118.68909,3.3
7,19:00:00,7002,88101,2,45.66408,-118.68909,4.0
7,20:00:00,7002,88101,2,45.66408,-118.68909,5.6
7,21:00:00,7002,88101,2,45.66408,-118.68909,6.8
7,22:00:00,7002,88101,2,45.66408,-118.68909,5.0
7,23:00:00,7002,88101,2,45.66408,-118.68909,3.9
8,00:00:00,7002,88101,2,45.66408,-118.68909,5.1
8,01:00:00,7002,88101,2,45.66408,-118.68909,4.0
8,02:00:00,7002,88101,2,45.66408,-118.68909,5.5
8,03:00:00,7002,88101,2,45.66408,-118.68909,6.2
8,04:00:00,7002,88101,2,45.66408,-118.68909,8.9
8,05:00:00,7002,88101,2,45.66408,-118.68909,5.6
8,06:00:00,7002,88101,2,45.66408,-118.68909,2.5
8,07:00:00,7002,88101,2,45.66408,-118.68909,4.9
8,08:00:00,7002,88101,2,45.66408,-118.68909,6.5
8,09:00:00,7002,88101,2,45.66408,-118.68909,0.9
8,10:00:00,7002,88101,2,45.66408,-118.68909,2.3
8,11:00:00,7002,88101,2,45.66408,-118.68909,5.7
8,12:00:00,7002,88101,2,45.66408,-118.68909,7.7
8,13:00:00,7002,88101,2,45.66408,-118.68909,3.8
8,14:00:00,7002,88101,2,45.66408,-118.68909,4.2
8,15:00:00,7002,88101,2,45.66408,-118.68909,5.4
8,16:00:00,7002,88101,2,45.66408,-118.68909,3.9
8,17:00:00,7002,88101,2,45.66408,-118.68909,12.1
8,18:00:00,7002,88101,2,45.66408,-118.68909,9.0
8,19:00:00,7002,88101,2,45.66408,-118.68909,2.6
8,20:00:00,7002,88101,2,45.66408,-118.68909,4.6
8,21:00:00,7002,88101,2,45.66408,-118.68909,2.5
8,22:00:00,7002,88101,2,45.66408,-118.68909,1.2
8,23:00:00,7002,88101,2,45.66408,-118.68909,2.5
9,00:00:00,7002,88101,2,45.66408,-118.68909,4.6
9,01:00:00,7002,88101,2,45.66408,-118.68909,3.9
9,02:00:00,7002,88101,2,45.66408,-118.68909,3.6
9,03:00:00,7002,88101,2,45.66408,-118.68909,3.9
9,04:00:00,7002,88101,2,45.66408,-118.68909,2.1
9,05:00:00,7002,88101,2,45.66408,-118.68909,0.9
9,06:00:00,7002,88101,2,45.66408,-118.68909,1.9
9,07:00:00,7002,88101,2,45.66408,-118.68909,3.5
9,08:00:00,7002,88101,2,45.66408,-118.68909,2.4
9,09:00:00,7002,88101,2,45.66408,-118.68909,6.9
9,10:00:00,7002,88101,2,45.66408,-118.68909,3.7
9,11:00:00,7002,88101,2,45.66408,-118.68909,6.4
9,12:00:00,7002,88101,2,45.66408,-118.68909,-0.4
9,13:00:00,7002,88101,2,45.66408,-118.68909,1.2
9,14:00:00,7002,88101,2,45.66408,-118.68909,3.7
9,15:00:00,7002,88101,2,45.66408,-118.68909,0.0
9,16:00:00,7002,88101,2,45.66408,-118.68909,6.8
9,17:00:00,7002,88101,2,45.66408,-118.68909,2.6
9,18:00:00,7002,88101,2,45.66408,-118.68909,6.9
9,19:00:00,7002,88101,2,45.66408,-118.68909,5.0
9,20:00:00,7002,88101,2,45.66408,-118.68909,2.2
9,21:00:00,7002,88101,2,45.66408,-118.68909,-0.3
9,22:00:00,7002,88101,2,45.66408,-118.68909,0.4
9,23:00:00,7002,88101,2,45.66408,-118.68909,2.8
10,00:00:00,7002,88101,2,45.66408,-118.68909,0.8
10,01:00:00,7002,88101,2,45.66408,-118.68909,3.6
10,02:00:00,7002,88101,2,45.66408,-118.68909,3.1
10,03:00:00,7002,88101,2,45.66408,-118.68909,1.8
10,04:00:00,7002,88101,2,45.66408,-118.68909,1.3
10,05:00:00,7002,88101,2,45.66408,-118.68909,2.6
10,06:00:00,7002,88101,2,45.66408,-118.68909,2.0
10,07:00:00,7002,88101,2,45.66408,-118.68909,3.2
10,08:00:00,7002,88101,2,45.66408,-118.68909,4.8
10,09:00:00,7002,88101,2,45.66408,-118.68909,-0.2
10,10:00:00,7002,88101,2,45.66408,-118.68909,0.2
10,11:00:00,7002,88101,2,45.66408,-118.68909,4.3
10,12:00:00,7002,88101,2,45.66408,-118.68909,4.7
10,13:00:00,7002,88101,2,45.66408,-118.68909,2.9
10,14:00:00,7002,88101,2,45.66408,-118.68909,3.6
10,15:00:00,7002,88101,2,45.66408,-118.68909,5.9
10,16:00:00,7002,88101,2,45.66408,-118.68909,1.0
10,17:00:00,7002,88101,2,45.66408,-118.68909,-7.2
10,18:00:00,7002,88101,2,45.66408,-118.68909,-1.7
10,19:00:00,7002,88101,2,45.66408,-118.68909,4.2
10,20:00:00,7002,88101,2,45.66408,-118.68909,0.7
10,21:00:00,7002,88101,2,45.66408,-118.68909,1.2
10,22:00:00,7002,88101,2,45.66408,-118.68909,2.6
10,23:00:00,7002,88101,2,45.66408,-118.68909,2.1
11,00:00:00,7002,88101,2,45.66408,-118.68909,1.8
11,01:00:00,7002,88101,2,45.66408,-118.68909,7.2
11,02:00:00,7002,88101,2,45.66408,-118.68909,5.8
11,03:00:00,7002,88101,2,45.66408,-118.68909,5.6
11,04:00:00,7002,88101,2,45.66408,-118.68909,5.2
11,05:00:00,7002,88101,2,45.66408,-118.68909,7.1
11,06:00:00,7002,88101,2,45.66408,-118.68909,7.1
11,07:00:00,7002,88101,2,45.66408,-118.68909,9.0
11,08:00:00,7002,88101,2,45.66408,-118.68909,8.3
11,09:00:00,7002,88101,2,45.66408,-118.68909,11.4
11,10:00:00,7002,88101,2,45.66408,-118.68909,6.1
11,11:00:00,7002,88101,2,45.66408,-118.68909,5.1
11,12:00:00,7002,88101,2,45.66408,-118.68909,7.2
11,13:00:00,7002,88101,2,45.66408,-118.68909,5.1
11,14:00:00,7002,88101,2,45.66408,-118.68909,3.9
11,15:00:00,7002,88101,2,45.66408,-118.68909,4.4
11,16:00:00,7002,88101,2,45.66408,-118.68909,7.8
11,17:00:00,7002,88101,2,45.66408,-118.68909,6.1
11,18:00:00,7002,88101,2,45.66408,-118.68909,4.7
11,19:00:00,7002,88101,2,45.66408,-118.68909,6.0
11,20:00:00,7002,88101,2,45.66408,-118.68909,4.3
11,21:00:00,7002,88101,2,45.66408,-118.68909,5.6
11,22:00:00,7002,88101,2,45.66408,-118.68909,2.9
11,23:00:00,7002,88101,2,45.66408,-118.68909,3.7
12,00:00:00,7002,88101,2,45.66408,-118.68909,3.7
12,01:00:00,7002,88101,2,45.66408,-118.68909,-0.9
12,02:00:00,7002,88101,2,45.66408,-118.68909,3.1
12,03:00:00,7002,88101,2,45.66408,-118.68909,3.4
12,04:00:00,7002,88101,2,45.66408,-118.68909,6.0
12,05:00:00,7002,88101,2,45.66408,-118.68909,4.3
12,06:00:00,7002,88101,2,45.66408,-118.68909,6.6
12,07:00:00,7002,88101,2,45.66408,-118.68909,6.0
12,08:00:00,7002,88101,2,45.66408,-118.68909,4.4
12,09:00:00,7002,88101,2,45.66408,-118.68909,0.8
12,10:00:00,7002,88101,2,45.66408,-118.68909,2.4
12,11:00:00,7002,88101,2,45.66408,-118.68909,5.9
12,12:00:00,7002,88101,2,45.66408,-118.68909,7.0
12,13:00:00,7002,88101,2,45.66408,-118.68909,5.2
12,14:00:00,7002,88101,2,45.66408,-118.68909,8.1
12,15:00:00,7002,88101,2,45.66408,-118.68909,3.2
12,16:00:00,7002,88101,2,45.66408,-118.68909,6.3
12,17:00:00,7002,88101,2,45.66408,-118.68909,0.9
12,18:00:00,7002,88101,2,45.66408,-118.68909,3.8
12,19:00:00,7002,88101,2,45.66408,-118.68909,4.7
12,20:00:00,7002,88101,2,45.66408,-118.68909,3.8
12,21:00:00,7002,88101,2,45.66408,-118.68909,5.4
12,22:00:00,7002,88101,2,45.66408,-118.68909,5.1
12,23:00:00,7002,88101,2,45.66408,-118.68909,4.8
13,00:00:00,7002,88101,2,45.66408,-118.68909,3.0
13,01:00:00,7002,88101,2,45.66408,-118.68909,2.0
13,02:00:00,7002,88101,2,45.66408,-118.68909,4.2
13,03:00:00,7002,88101,2,45.66408,-118.68909,5.7
13,04:00:00,7002,88101,2,45.66408,-118.68909,4.0
13,05:00:00,7002,88101,2,45.66408,-118.68909,4.5
13,06:00:00,7002,88101,2,45.66408,-118.68909,4.5
13,07:00:00,7002,88101,2,45.66408,-118.68909,5.2
13,08:00:00,7002,88101,2,45.66408,-118.68909,3.7
13,09:00:00,7002,88101,2,45.66408,-118.68909,6.4
13,10:00:00,7002,88101,2,45.66408,-118.68909,6.4
13,11:00:00,7002,88101,2,45.66408,-118.68909,4.4
13,12:00:00,7002,88101,2,45.66408,-118.68909,8.0
13,13:00:00,7002,88101,2,45.66408,-118.68909,7.6
13,14:00:00,7002,88101,2,45.66408,-118.68909,6.5
13,15:00:00,7002,88101,2,45.66408,-118.68909,5.9
13,16:00:00,7002,88101,2,45.66408,-118.68909,3.3
13,18:00:00,7002,88101,2,45.66408,-118.68909,-7.7
13,19:00:00,7002,88101,2,45.66408,-118.68909,-5.0
13,20:00:00,7002,88101,2,45.66408,-118.68909,6.9
13,21:00:00,7002,88101,2,45.66408,-118.68909,4.7
13,22:00:00,7002,88101,2,45.66408,-118.68909,2.7
13,23:00:00,7002,88101,2,45.66408,-118.68909,1.3
14,00:00:00,7002,88101,2,45.66408,-118.68909,3.5
14,01:00:00,7002,88101,2,45.66408,-118.68909,3.5
14,02:00:00,7002,88101,2,45.66408,-118.68909,5.0
14,03:00:00,7002,88101,2,45.66408,-118.68909,5.0
14,04:00:00,7002,88101,2,45.66408,-118.68909,4.2
14,05:00:00,7002,88101,2,45.66408,-118.68909,4.2
14,06:00:00,7002,88101,2,45.66408,-118.68909,3.4
14,07:00:00,7002,88101,2,45.66408,-118.68909,3.4
14,08:00:00,7002,88101,2,45.66408,-118.68909,0.8
14,09:00:00,7002,88101,2,45.66408,-118.68909,9.3
14,10:00:00,7002,88101,2,45.66408,-118.68909,6.5
14,11:00:00,7002,88101,2,45.66408,-118.68909,3.9
14,12:00:00,7002,88101,2,45.66408,-118.68909,3.0
14,13:00:00,7002,88101,2,45.66408,-118.68909,1.5
14,14:00:00,7002,88101,2,45.66408,-118.68909,5.5
14,15:00:00,7002,88101,2,45.66408,-118.68909,5.4
14,16:00:00,7002,88101,2,45.66408,-118.68909,3.3
14,17:00:00,7002,88101,2,45.66408,-118.68909,1.9
14,18:00:00,7002,88101,2,45.66408,-118.68909,4.5
14,19:00:00,7002,88101,2,45.66408,-118.68909,1.2
14,20:00:00,7002,88101,2,45.66408,-118.68909,4.5
14,21:00:00,7002,88101,2,45.66408,-118.68909,-0.4
14,22:00:00,7002,88101,2,45.66408,-118.68909,2.0
14,23:00:00,7002,88101,2,45.66408,-118.68909,2.0
15,00:00:00,7002,88101,2,45.66408,-118.68909,8.7
15,01:00:00,7002,88101,2,45.66408,-118.68909,5.1
15,02:00:00,7002,88101,2,45.66408,-118.68909,-0.6
15,03:00:00,7002,88101,2,45.66408,-118.68909,3.6
15,04:00:00,7002,88101,2,45.66408,-118.68909,5.2
15,05:00:00,7002,88101,2,45.66408,-118.68909,1.4
15,06:00:00,7002,88101,2,45.66408,-118.68909,6.4
15,07:00:00,7002,88101,2,45.66408,-118.68909,4.3
15,08:00:00,7002,88101,2,45.66408,-118.68909,3.1
15,09:00:00,7002,88101,2,45.66408,-118.68909,9.0
15,10:00:00,7002,88101,2,45.66408,-118.68909,7.8
15,11:00:00,7002,88101,2,45.66408,-118.68909,6.2
15,12:00:00,7002,88101,2,45.66408,-118.68909,2.0
15,13:00:00,7002,88101,2,45.66408,-118.68909,7.1
15,14:00:00,7002,88101,2,45.66408,-118.68909,5.9
15,15:00:00,7002,88101,2,45.66408,-118.68909,3.3
15,16:00:00,7002,88101,2,45.66408,-118.68909,2.7
15,17:00:00,7002,88101,2,45.66408,-118.68909,4.9
15,18:00:00,7002,88101,2,45.66408,-118.68909,4.3
15,19:00:00,7002,88101,2,45.66408,-118.68909,6.4
15,20:00:00,7002,88101,2,45.66408,-118.68909,3.8
15,21:00:00,7002,88101,2,45.66408,-118.68909,1.0
15,22:00:00,7002,88101,2,45.66408,-118.68909,5.2
15,23:00:00,7002,88101,2,45.66408,-118.68909,4.9
16,00:00:00,7002,88101,2,45.66408,-118.68909,4.3
16,01:00:00,7002,88101,2,45.66408,-118.68909,2.5
16,02:00:00,7002,88101,2,45.66408,-118.68909,2.6
16,03:00:00,7002,88101,2,45.66408,-118.68909,2.8
16,04:00:00,7002,88101,2,45.66408,-118.68909,3.8
16,05:00:00,7002,88101,2,45.66408,-118.68909,0.5
16,06:00:00,7002,88101,2,45.66408,-118.68909,5.0
16,07:00:00,7002,88101,2,45.66408,-118.68909,-0.2
16,08:00:00,7002,88101,2,45.66408,-118.68909,0.5
16,09:00:00,7002,88101,2,45.66408,-118.68909,6.2
