day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0017,88101,1,44.657014,-111.089618,0.0
1,00:00:00,0017,88101,3,39.063798,-108.561173,9.5
1,00:00:00,0017,88101,3,41.063526,-81.468956,6.9
1,00:00:00,0017,88101,3,40.3663,-80.6158,8.8
1,01:00:00,0017,88101,1,44.657014,-111.089618,-3.0
1,01:00:00,0017,88101,3,39.063798,-108.561173,13.3
1,01:00:00,0017,88101,3,41.063526,-81.468956,6.6
1,01:00:00,0017,88101,3,40.3663,-80.6158,8.5
1,02:00:00,0017,88101,1,44.657014,-111.089618,-2.0
1,02:00:00,0017,88101,3,40.3663,-80.6158,9.3
1,02:00:00,0017,88101,3,41.063526,-81.468956,6.8
1,02:00:00,0017,88101,3,39.063798,-108.561173,10.8
1,03:00:00,0017,88101,1,44.657014,-111.089618,0.0
1,03:00:00,0017,88101,3,41.063526,-81.468956,8.0
1,03:00:00,0017,88101,3,40.3663,-80.6158,8.2
1,03:00:00,0017,88101,3,39.063798,-108.561173,10.3
1,04:00:00,0017,88101,1,44.657014,-111.089618,0.0
1,04:00:00,0017,88101,3,39.063798,-108.561173,11.9
1,04:00:00,0017,88101,3,40.3663,-80.6158,8.7
1,04:00:00,0017,88101,3,41.063526,-81.468956,9.9
1,05:00:00,0017,88101,3,40.3663,-80.6158,12.9
1,05:00:00,0017,88101,1,44.657014,-111.089618,-1.0
1,05:00:00,0017,88101,3,41.063526,-81.468956,7.5
1,05:00:00,0017,88101,3,39.063798,-108.561173,8.8
1,06:00:00,0017,88101,3,40.3663,-80.6158,11.7
1,06:00:00,0017,88101,1,44.657014,-111.089618,-1.0
1,06:00:00,0017,88101,3,41.063526,-81.468956,9.7
1,06:00:00,0017,88101,3,39.063798,-108.561173,7.8
1,07:00:00,0017,88101,3,39.063798,-108.561173,17.2
1,07:00:00,0017,88101,3,40.3663,-80.6158,16.2
1,07:00:00,0017,88101,3,41.063526,-81.468956,10.2
1,08:00:00,0017,88101,3,40.3663,-80.6158,16.2
1,08:00:00,0017,88101,3,41.063526,-81.468956,10.2
1,08:00:00,0017,88101,3,39.063798,-108.561173,15.9
1,08:00:00,0017,88101,3,47.536389,-116.236667,29.0
1,09:00:00,0017,88101,3,40.3663,-80.6158,12.2
1,09:00:00,0017,88101,3,41.063526,-81.468956,8.6
1,09:00:00,0017,88101,3,39.063798,-108.561173,16.3
1,09:00:00,0017,88101,3,47.536389,-116.236667,25.0
1,10:00:00,0017,88101,3,39.063798,-108.561173,18.2
1,10:00:00,0017,88101,3,40.3663,-80.6158,12.4
1,10:00:00,0017,88101,3,41.063526,-81.468956,7.2
1,10:00:00,0017,88101,3,47.536389,-116.236667,21.0
1,11:00:00,0017,88101,3,39.063798,-108.561173,17.1
1,11:00:00,0017,88101,3,40.3663,-80.6158,11.9
1,11:00:00,0017,88101,3,41.063526,-81.468956,7.6
1,11:00:00,0017,88101,3,47.536389,-116.236667,22.0
1,12:00:00,0017,88101,3,41.063526,-81.468956,9.0
1,12:00:00,0017,88101,3,40.3663,-80.6158,11.9
1,12:00:00,0017,88101,3,39.063798,-108.561173,15.0
1,12:00:00,0017,88101,3,47.536389,-116.236667,17.0
1,13:00:00,0017,88101,3,39.063798,-108.561173,14.6
1,13:00:00,0017,88101,3,40.3663,-80.6158,13.7
1,13:00:00,0017,88101,3,41.063526,-81.468956,10.7
1,13:00:00,0017,88101,3,47.536389,-116.236667,21.0
1,14:00:00,0017,88101,3,39.063798,-108.561173,19.5
1,14:00:00,0017,88101,3,40.3663,-80.6158,13.2
1,14:00:00,0017,88101,3,41.063526,-81.468956,9.6
1,14:00:00,0017,88101,3,47.536389,-116.236667,17.0
1,15:00:00,0017,88101,3,39.063798,-108.561173,19.3
1,15:00:00,0017,88101,3,40.3663,-80.6158,11.7
1,15:00:00,0017,88101,3,41.063526,-81.468956,8.5
1,15:00:00,0017,88101,3,47.536389,-116.236667,17.0
1,16:00:00,0017,88101,3,39.063798,-108.561173,14.9
1,16:00:00,0017,88101,3,40.3663,-80.6158,12.3
1,16:00:00,0017,88101,3,41.063526,-81.468956,9.9
1,16:00:00,0017,88101,3,47.536389,-116.236667,25.0
1,17:00:00,0017,88101,3,39.063798,-108.561173,12.2
1,17:00:00,0017,88101,3,40.3663,-80.6158,10.6
1,17:00:00,0017,88101,3,41.063526,-81.468956,10.4
1,17:00:00,0017,88101,3,47.536389,-116.236667,23.0
1,18:00:00,0017,88101,3,40.3663,-80.6158,9.6
1,18:00:00,0017,88101,3,39.063798,-108.561173,11.5
1,18:00:00,0017,88101,3,41.063526,-81.468956,11.0
1,18:00:00,0017,88101,3,47.536389,-116.236667,12.0
1,19:00:00,0017,88101,3,39.063798,-108.561173,9.8
1,19:00:00,0017,88101,3,41.063526,-81.468956,13.5
1,19:00:00,0017,88101,3,40.3663,-80.6158,11.1
1,19:00:00,0017,88101,3,47.536389,-116.236667,9.0
1,20:00:00,0017,88101,3,39.063798,-108.561173,8.9
1,20:00:00,0017,88101,3,41.063526,-81.468956,12.5
1,20:00:00,0017,88101,3,40.3663,-80.6158,16.3
1,20:00:00,0017,88101,3,47.536389,-116.236667,5.0
1,21:00:00,0017,88101,3,41.063526,-81.468956,11.4
1,21:00:00,0017,88101,3,40.3663,-80.6158,7.8
1,21:00:00,0017,88101,3,39.063798,-108.561173,10.7
1,21:00:00,0017,88101,3,47.536389,-116.236667,6.0
1,22:00:00,0017,88101,3,39.063798,-108.561173,11.2
1,22:00:00,0017,88101,3,40.3663,-80.6158,16.3
1,22:00:00,0017,88101,3,41.063526,-81.468956,10.3
1,22:00:00,0017,88101,3,47.536389,-116.236667,11.0
1,23:00:00,0017,88101,3,41.063526,-81.468956,11.2
1,23:00:00,0017,88101,3,39.063798,-108.561173,10.9
1,23:00:00,0017,88101,3,40.3663,-80.6158,12.3
1,23:00:00,0017,88101,3,47.536389,-116.236667,12.0
2,00:00:00,0017,88101,3,39.063798,-108.561173,12.1
2,00:00:00,0017,88101,3,40.3663,-80.6158,12.3
2,00:00:00,0017,88101,3,41.063526,-81.468956,11.4
2,00:00:00,0017,88101,3,47.536389,-116.236667,13.0
2,01:00:00,0017,88101,3,39.063798,-108.561173,14.7
2,01:00:00,0017,88101,3,40.3663,-80.6158,11.5
2,01:00:00,0017,88101,3,41.063526,-81.468956,10.5
2,01:00:00,0017,88101,3,47.536389,-116.236667,24.0
2,02:00:00,0017,88101,3,41.063526,-81.468956,12.2
2,02:00:00,0017,88101,3,39.063798,-108.561173,16.0
2,02:00:00,0017,88101,3,40.3663,-80.6158,11.3
2,02:00:00,0017,88101,3,47.536389,-116.236667,31.0
2,03:00:00,0017,88101,3,39.063798,-108.561173,18.8
2,03:00:00,0017,88101,3,40.3663,-80.6158,9.8
2,03:00:00,0017,88101,3,41.063526,-81.468956,11.7
2,03:00:00,0017,88101,3,47.536389,-116.236667,33.0
2,04:00:00,0017,88101,3,39.063798,-108.561173,21.2
2,04:00:00,0017,88101,3,40.3663,-80.6158,9.3
2,04:00:00,0017,88101,3,41.063526,-81.468956,11.2
2,04:00:00,0017,88101,3,47.536389,-116.236667,19.0
2,05:00:00,0017,88101,3,40.3663,-80.6158,15.8
2,05:00:00,0017,88101,3,39.063798,-108.561173,19.5
2,05:00:00,0017,88101,3,41.063526,-81.468956,11.3
2,05:00:00,0017,88101,3,47.536389,-116.236667,37.0
2,06:00:00,0017,88101,3,39.063798,-108.561173,15.8
2,06:00:00,0017,88101,3,40.3663,-80.6158,14.0
2,06:00:00,0017,88101,3,41.063526,-81.468956,12.6
2,06:00:00,0017,88101,3,47.536389,-116.236667,28.0
2,07:00:00,0017,88101,3,40.3663,-80.6158,14.2
2,07:00:00,0017,88101,3,41.063526,-81.468956,14.1
2,07:00:00,0017,88101,3,39.063798,-108.561173,15.0
2,07:00:00,0017,88101,3,47.536389,-116.236667,32.0
2,08:00:00,0017,88101,3,39.063798,-108.561173,17.3
2,08:00:00,0017,88101,3,40.3663,-80.6158,12.7
2,08:00:00,0017,88101,3,41.063526,-81.468956,10.9
2,08:00:00,0017,88101,3,47.536389,-116.236667,30.0
2,09:00:00,0017,88101,3,39.063798,-108.561173,20.8
2,09:00:00,0017,88101,3,40.3663,-80.6158,17.5
2,09:00:00,0017,88101,3,41.063526,-81.468956,10.7
2,09:00:00,0017,88101,3,47.536389,-116.236667,27.0
2,10:00:00,0017,88101,3,39.063798,-108.561173,19.8
2,10:00:00,0017,88101,3,40.3663,-80.6158,17.8
2,10:00:00,0017,88101,3,41.063526,-81.468956,11.1
2,10:00:00,0017,88101,3,47.536389,-116.236667,18.0
2,11:00:00,0017,88101,3,40.3663,-80.6158,21.8
2,11:00:00,0017,88101,3,41.063526,-81.468956,12.7
2,11:00:00,0017,88101,3,39.063798,-108.561173,12.5
2,11:00:00,0017,88101,3,47.536389,-116.236667,21.0
2,12:00:00,0017,88101,3,41.063526,-81.468956,14.3
2,12:00:00,0017,88101,3,40.3663,-80.6158,18.8
2,12:00:00,0017,88101,3,39.063798,-108.561173,8.3
2,12:00:00,0017,88101,3,47.536389,-116.236667,26.0
2,13:00:00,0017,88101,3,40.3663,-80.6158,20.3
2,13:00:00,0017,88101,3,41.063526,-81.468956,13.9
2,13:00:00,0017,88101,3,39.063798,-108.561173,17.2
2,13:00:00,0017,88101,3,47.536389,-116.236667,21.0
2,14:00:00,0017,88101,3,40.3663,-80.6158,16.5
2,14:00:00,0017,88101,3,39.063798,-108.561173,16.3
2,14:00:00,0017,88101,3,41.063526,-81.468956,16.5
2,14:00:00,0017,88101,3,47.536389,-116.236667,14.0
2,15:00:00,0017,88101,3,39.063798,-108.561173,14.1
2,15:00:00,0017,88101,3,41.063526,-81.468956,15.1
2,15:00:00,0017,88101,3,40.3663,-80.6158,14.0
2,15:00:00,0017,88101,3,47.536389,-116.236667,21.0
2,16:00:00,0017,88101,3,39.063798,-108.561173,15.3
2,16:00:00,0017,88101,3,40.3663,-80.6158,18.1
2,16:00:00,0017,88101,3,41.063526,-81.468956,16.8
2,16:00:00,0017,88101,3,47.536389,-116.236667,11.0
2,17:00:00,0017,88101,3,39.063798,-108.561173,14.8
2,17:00:00,0017,88101,3,40.3663,-80.6158,18.4
2,17:00:00,0017,88101,3,41.063526,-81.468956,17.9
2,17:00:00,0017,88101,3,47.536389,-116.236667,11.0
2,18:00:00,0017,88101,3,39.063798,-108.561173,13.6
2,18:00:00,0017,88101,3,41.063526,-81.468956,17.2
2,18:00:00,0017,88101,3,40.3663,-80.6158,14.9
2,18:00:00,0017,88101,3,47.536389,-116.236667,8.0
2,19:00:00,0017,88101,3,39.063798,-108.561173,11.8
2,19:00:00,0017,88101,3,40.3663,-80.6158,13.1
2,19:00:00,0017,88101,3,41.063526,-81.468956,15.7
2,19:00:00,0017,88101,3,47.536389,-116.236667,15.0
2,20:00:00,0017,88101,3,39.063798,-108.561173,9.9
2,20:00:00,0017,88101,3,40.3663,-80.6158,12.6
2,20:00:00,0017,88101,3,41.063526,-81.468956,15.2
2,20:00:00,0017,88101,3,47.536389,-116.236667,18.0
2,21:00:00,0017,88101,3,39.063798,-108.561173,9.9
2,21:00:00,0017,88101,3,41.063526,-81.468956,17.4
2,21:00:00,0017,88101,3,40.3663,-80.6158,16.4
2,21:00:00,0017,88101,3,47.536389,-116.236667,15.0
2,22:00:00,0017,88101,3,41.063526,-81.468956,17.7
2,22:00:00,0017,88101,3,39.063798,-108.561173,10.9
2,22:00:00,0017,88101,3,40.3663,-80.6158,17.6
2,22:00:00,0017,88101,3,47.536389,-116.236667,14.0
2,23:00:00,0017,88101,3,39.063798,-108.561173,10.4
2,23:00:00,0017,88101,3,40.3663,-80.6158,17.1
2,23:00:00,0017,88101,3,41.063526,-81.468956,17.6
2,23:00:00,0017,88101,3,47.536389,-116.236667,9.0
3,00:00:00,0017,88101,3,39.063798,-108.561173,12.1
3,00:00:00,0017,88101,3,40.3663,-80.6158,19.1
3,00:00:00,0017,88101,3,41.063526,-81.468956,20.6
3,00:00:00,0017,88101,3,47.536389,-116.236667,11.0
3,01:00:00,0017,88101,3,40.3663,-80.6158,23.7
3,01:00:00,0017,88101,3,39.063798,-108.561173,14.9
3,01:00:00,0017,88101,3,41.063526,-81.468956,21.8
3,01:00:00,0017,88101,3,47.536389,-116.236667,22.0
3,02:00:00,0017,88101,3,39.063798,-108.561173,11.4
3,02:00:00,0017,88101,3,40.3663,-80.6158,25.2
3,02:00:00,0017,88101,3,41.063526,-81.468956,27.2
3,02:00:00,0017,88101,3,47.536389,-116.236667,33.0
3,03:00:00,0017,88101,3,39.063798,-108.561173,19.0
3,03:00:00,0017,88101,3,41.063526,-81.468956,29.8
3,03:00:00,0017,88101,3,40.3663,-80.6158,20.1
3,03:00:00,0017,88101,3,47.536389,-116.236667,40.0
3,04:00:00,0017,88101,3,39.063798,-108.561173,18.4
3,04:00:00,0017,88101,3,40.3663,-80.6158,27.4
3,04:00:00,0017,88101,3,41.063526,-81.468956,30.5
3,04:00:00,0017,88101,3,47.536389,-116.236667,41.0
3,05:00:00,0017,88101,3,40.3663,-80.6158,25.7
3,05:00:00,0017,88101,3,39.063798,-108.561173,15.0
3,05:00:00,0017,88101,3,41.063526,-81.468956,29.8
3,05:00:00,0017,88101,3,47.536389,-116.236667,49.0
3,06:00:00,0017,88101,3,39.063798,-108.561173,25.6
3,06:00:00,0017,88101,3,40.3663,-80.6158,20.0
3,06:00:00,0017,88101,3,41.063526,-81.468956,27.6
3,06:00:00,0017,88101,3,47.536389,-116.236667,46.0
3,07:00:00,0017,88101,3,39.063798,-108.561173,21.0
3,07:00:00,0017,88101,3,41.063526,-81.468956,25.5
3,07:00:00,0017,88101,3,40.3663,-80.6158,23.0
3,07:00:00,0017,88101,3,47.536389,-116.236667,39.0
3,08:00:00,0017,88101,3,41.063526,-81.468956,24.1
3,08:00:00,0017,88101,3,39.063798,-108.561173,20.5
3,08:00:00,0017,88101,3,40.3663,-80.6158,20.0
3,08:00:00,0017,88101,3,47.536389,-116.236667,49.0
3,09:00:00,0017,88101,3,41.063526,-81.468956,22.9
3,09:00:00,0017,88101,3,39.063798,-108.561173,19.6
3,09:00:00,0017,88101,3,40.3663,-80.6158,18.8
3,09:00:00,0017,88101,3,47.536389,-116.236667,48.0
3,10:00:00,0017,88101,3,40.3663,-80.6158,23.3
3,10:00:00,0017,88101,3,41.063526,-81.468956,22.7
3,10:00:00,0017,88101,3,39.063798,-108.561173,15.7
3,10:00:00,0017,88101,3,47.536389,-116.236667,38.0
3,11:00:00,0017,88101,3,40.3663,-80.6158,18.8
3,11:00:00,0017,88101,3,41.063526,-81.468956,20.9
3,11:00:00,0017,88101,3,39.063798,-108.561173,18.1
3,11:00:00,0017,88101,3,47.536389,-116.236667,47.0
3,12:00:00,0017,88101,3,39.063798,-108.561173,18.8
3,12:00:00,0017,88101,3,41.063526,-81.468956,21.3
