day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0014,88101,2,47.355332,-68.321106,8.0
1,00:00:00,0014,88101,3,40.747796,-80.316442,3.2
1,00:00:00,0014,88101,3,35.856111,-78.574167,8.4
1,00:00:00,0014,88101,3,44.4762,-73.2106,4.3
1,00:00:00,0014,88101,6,43.075371,-70.748017,49.8
1,01:00:00,0014,88101,2,47.355332,-68.321106,7.0
1,01:00:00,0014,88101,3,40.747796,-80.316442,3.7
1,01:00:00,0014,88101,6,43.075371,-70.748017,19.6
1,01:00:00,0014,88101,3,35.856111,-78.574167,6.3
1,01:00:00,0014,88101,3,44.4762,-73.2106,8.7
1,02:00:00,0014,88101,2,47.355332,-68.321106,4.0
1,02:00:00,0014,88101,3,40.747796,-80.316442,3.5
1,02:00:00,0014,88101,3,44.4762,-73.2106,3.6
1,02:00:00,0014,88101,3,35.856111,-78.574167,9.4
1,02:00:00,0014,88101,6,43.075371,-70.748017,10.8
1,03:00:00,0014,88101,3,40.747796,-80.316442,-0.5
1,03:00:00,0014,88101,2,47.355332,-68.321106,8.0
1,03:00:00,0014,88101,3,35.856111,-78.574167,7.9
1,03:00:00,0014,88101,3,44.4762,-73.2106,2.6
1,03:00:00,0014,88101,6,43.075371,-70.748017,14.6
1,04:00:00,0014,88101,2,47.355332,-68.321106,8.0
1,04:00:00,0014,88101,3,40.747796,-80.316442,1.0
1,04:00:00,0014,88101,3,44.4762,-73.2106,2.4
1,04:00:00,0014,88101,3,35.856111,-78.574167,9.4
1,04:00:00,0014,88101,6,43.075371,-70.748017,10.8
1,05:00:00,0014,88101,3,44.4762,-73.2106,3.0
1,05:00:00,0014,88101,2,47.355332,-68.321106,8.0
1,05:00:00,0014,88101,3,40.747796,-80.316442,2.4
1,05:00:00,0014,88101,6,43.075371,-70.748017,18.5
1,05:00:00,0014,88101,3,35.856111,-78.574167,36.6
1,06:00:00,0014,88101,2,47.355332,-68.321106,6.0
1,06:00:00,0014,88101,3,40.747796,-80.316442,3.3
1,06:00:00,0014,88101,3,44.4762,-73.2106,3.9
1,06:00:00,0014,88101,6,43.075371,-70.748017,13.7
1,06:00:00,0014,88101,3,35.856111,-78.574167,40.2
