day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0010,88101,3,48.317507,-107.862471,7.0
1,00:00:00,0010,88101,3,43.629605,-72.309499,2.8
1,00:00:00,0010,88101,3,40.85355,-73.96618,5.9
1,00:00:00,0010,88101,3,41.170833,-73.194722,7.0
1,00:00:00,0010,88101,1,21.323745,-158.088613,6.0
1,01:00:00,0010,88101,3,48.317507,-107.862471,-3.5
1,01:00:00,0010,88101,1,21.323745,-158.088613,3.0
1,01:00:00,0010,88101,3,40.85355,-73.96618,4.9
1,01:00:00,0010,88101,3,41.170833,-73.194722,17.0
1,01:00:00,0010,88101,3,43.629605,-72.309499,4.5
1,02:00:00,0010,88101,3,40.85355,-73.96618,5.8
1,02:00:00,0010,88101,3,41.170833,-73.194722,4.0
1,02:00:00,0010,88101,3,48.317507,-107.862471,-4.8
1,02:00:00,0010,88101,1,21.323745,-158.088613,-1.0
1,02:00:00,0010,88101,3,43.629605,-72.309499,4.0
1,03:00:00,0010,88101,1,21.323745,-158.088613,1.0
1,03:00:00,0010,88101,3,41.170833,-73.194722,5.0
1,03:00:00,0010,88101,3,40.85355,-73.96618,5.8
1,03:00:00,0010,88101,3,48.317507,-107.862471,0.5
1,03:00:00,0010,88101,3,43.629605,-72.309499,3.5
1,04:00:00,0010,88101,3,43.629605,-72.309499,4.1
1,04:00:00,0010,88101,3,40.85355,-73.96618,4.7
1,04:00:00,0010,88101,3,48.317507,-107.862471,-6.1
1,04:00:00,0010,88101,3,41.170833,-73.194722,5.0
1,04:00:00,0010,88101,1,21.323745,-158.088613,1.0
1,05:00:00,0010,88101,3,43.629605,-72.309499,3.7
1,05:00:00,0010,88101,3,48.317507,-107.862471,1.7
1,05:00:00,0010,88101,3,41.170833,-73.194722,27.0
1,05:00:00,0010,88101,3,40.85355,-73.96618,17.4
1,05:00:00,0010,88101,1,21.323745,-158.088613,1.0
1,06:00:00,0010,88101,3,41.170833,-73.194722,20.0
1,06:00:00,0010,88101,3,48.317507,-107.862471,4.2
1,06:00:00,0010,88101,3,43.629605,-72.309499,-0.3
1,06:00:00,0010,88101,1,21.323745,-158.088613,2.0
1,06:00:00,0010,88101,3,40.85355,-73.96618,17.0
1,07:00:00,0010,88101,3,48.317507,-107.862471,-3.8
1,07:00:00,0010,88101,1,21.323745,-158.088613,6.0
1,07:00:00,0010,88101,3,43.629605,-72.309499,1.5
1,07:00:00,0010,88101,3,41.170833,-73.194722,19.0
1,07:00:00,0010,88101,3,40.85355,-73.96618,20.3
1,08:00:00,0010,88101,3,38.56844,-121.49311,30.0
1,08:00:00,0010,88101,3,48.317507,-107.862471,0.0
1,08:00:00,0010,88101,3,43.629605,-72.309499,4.2
1,08:00:00,0010,88101,3,40.85355,-73.96618,22.7
1,08:00:00,0010,88101,1,21.323745,-158.088613,12.0
1,08:00:00,0010,88101,3,41.170833,-73.194722,13.0
1,09:00:00,0010,88101,3,38.56844,-121.49311,35.0
1,09:00:00,0010,88101,3,43.629605,-72.309499,7.6
1,09:00:00,0010,88101,3,40.85355,-73.96618,23.5
1,09:00:00,0010,88101,3,41.170833,-73.194722,17.0
1,09:00:00,0010,88101,3,48.317507,-107.862471,0.8
1,09:00:00,0010,88101,1,21.323745,-158.088613,22.0
1,10:00:00,0010,88101,3,38.56844,-121.49311,35.0
1,10:00:00,0010,88101,3,40.85355,-73.96618,23.6
1,10:00:00,0010,88101,3,48.317507,-107.862471,0.0
1,10:00:00,0010,88101,1,21.323745,-158.088613,53.0
1,10:00:00,0010,88101,3,41.170833,-73.194722,10.0
1,10:00:00,0010,88101,3,43.629605,-72.309499,5.7
1,11:00:00,0010,88101,3,38.56844,-121.49311,32.0
1,11:00:00,0010,88101,1,21.323745,-158.088613,22.0
1,11:00:00,0010,88101,3,48.317507,-107.862471,1.3
1,11:00:00,0010,88101,3,43.629605,-72.309499,3.7
1,11:00:00,0010,88101,3,40.85355,-73.96618,20.1
1,11:00:00,0010,88101,3,41.170833,-73.194722,11.0
1,12:00:00,0010,88101,3,38.56844,-121.49311,31.0
1,12:00:00,0010,88101,3,40.85355,-73.96618,16.5
1,12:00:00,0010,88101,3,41.170833,-73.194722,11.0
1,12:00:00,0010,88101,3,43.629605,-72.309499,4.2
1,12:00:00,0010,88101,1,21.323745,-158.088613,24.0
1,12:00:00,0010,88101,3,48.317507,-107.862471,2.0
1,13:00:00,0010,88101,3,38.56844,-121.49311,31.0
1,13:00:00,0010,88101,3,43.629605,-72.309499,5.6
1,13:00:00,0010,88101,3,40.85355,-73.96618,17.9
1,13:00:00,0010,88101,1,21.323745,-158.088613,12.0
1,13:00:00,0010,88101,3,41.170833,-73.194722,10.0
1,13:00:00,0010,88101,3,48.317507,-107.862471,-0.6
1,14:00:00,0010,88101,3,38.56844,-121.49311,28.0
1,14:00:00,0010,88101,3,48.317507,-107.862471,2.5
1,14:00:00,0010,88101,3,43.629605,-72.309499,4.5
1,14:00:00,0010,88101,3,41.170833,-73.194722,8.0
